VoLL,Effectiveness,DiscountRate,k_star,NPV_star
4864.423308970487,0.9825094741474366,0.07233935350989165,12400,7574640884.982393
7270.550872289328,0.8223832979137213,0.11170556200960838,11927,6691666717.975054
7593.363698676873,0.70929057951338,0.08971761187225039,11545,6020037710.567471
7425.156886471609,0.938505100704236,0.077879639432052,12845,9392506674.49141
6112.4787615955265,0.7917573812903824,0.09161807990915474,11566,5932182853.48691
5272.519540498266,0.831401014251124,0.10880629282068785,11198,5332874740.311504
6858.1164881671175,0.9814241932923007,0.05210534838140895,13070,10379094789.535292
4830.995617473592,0.8727514402273219,0.06889954704139255,11891,6382893072.980413
4524.238829331432,0.7888455077476627,0.06631845585360746,11174,5247128583.740692
6640.340521279841,0.761683581114083,0.059674248166066916,12008,6806542658.150314
3949.4071082466526,0.9523639878105834,0.06387373426461455,12027,6553668178.404209
7134.742295788859,0.9028750373041974,0.10937085094400797,12319,7653987208.029926
7892.489520443386,0.9616154840925212,0.09477859834467481,12871,9579850113.3112
5552.767302915671,0.9147331854277408,0.07251851625215011,12307,7447845115.835806
4920.6289438144295,0.8559908799015122,0.05809364799601456,11973,6563702485.235167
7258.915475721228,0.7105401266748337,0.08128477864032674,11558,6011348150.96843
6537.658685943174,0.8527918286496218,0.09956067890053602,12011,6803377669.306459
7546.07724039873,0.9454396035324395,0.07183009682640276,12929,9827660272.517666
4256.220025697317,0.8614983494999932,0.05124915776410084,11832,6197278667.455404
5577.968795798255,0.7050425137340472,0.09288430303479593,10545,4532590746.472863
6318.271457486526,0.7975452949213586,0.0841060121511559,11806,6352102074.157131
7138.419989797633,0.9567691116214093,0.08497728838034402,12792,9121006352.591423
7470.453916134023,0.8440366161590831,0.062179603034293304,12622,8613912463.640034
3693.4763207912797,0.974970401960317,0.06271814278932443,12045,6562606070.613583
5839.252836954778,0.7603183230228638,0.07426037228487266,11463,5768543606.3828335
3525.0632017313023,0.7020819072402313,0.07916188052642678,9290,3407041849.0461197
6224.715604528697,0.8944197169097268,0.05512818403784737,12594,8384367478.242825
5925.37379606044,0.7108760700814133,0.10383512176608012,10606,4606689289.564472
3457.4446832749613,0.8976525103703543,0.11166832042276686,10592,4478638710.459902
5401.2159777087,0.9781533387439132,0.05269139834512504,12754,8722400370.255245
5579.668762165162,0.7534921414539527,0.0666621523112931,11418,5670994177.821127
7150.760832975655,0.9033017292473084,0.10646395070420864,12360,7756807162.792912
6772.319496466877,0.7120454074937891,0.09073497941741077,11218,5465370042.555027
3779.090312328336,0.9706836048158893,0.08842104495495634,11699,5935252311.79929
7161.516359427341,0.8455475405069426,0.07336925349765039,12439,7996055796.915926
4858.976029103233,0.7135753941362631,0.08876177221750652,10272,4225159547.140973
4351.559180515245,0.9407344621501205,0.07672779707535393,11962,6477065695.349249
5900.993932741498,0.8118592851665534,0.10989401420940177,11346,5573697420.957548
4058.740537860416,0.8989550413359083,0.059631835388975124,11841,6201024407.589682
6022.813852744532,0.7646045899733515,0.07094881804756625,11642,6046890732.26203
4966.650606625644,0.9678986475068012,0.1005327691001894,12049,6717571881.829504
7562.244349945873,0.8090752433851456,0.09250035488880161,12169,7264851775.868116
6325.684278601912,0.8170132129288246,0.08101615042374412,11959,6683032280.535545
4113.792134136225,0.8064904315374231,0.07617689323758424,10930,4881506147.304289
7059.341555328154,0.9361364534071237,0.05487792053801976,12949,9825493632.482822
6480.207947829227,0.7900191650003235,0.05799235693738919,12143,7107983255.106934
6789.1652049827735,0.860980926407628,0.09706928892252693,12162,7181298392.156473
4860.583267436999,0.814274777587533,0.10237071367586782,10974,4981577310.211613
4529.359691564248,0.8474417715948135,0.10265092034205876,11040,5052343983.3203745
4096.227359132988,0.9789414512988087,0.1072373110060557,11635,5857923137.70196
4225.420147370552,0.8141570579432973,0.09182117740457571,10783,4715277201.379868
7379.46582088487,0.7847192032244135,0.07393691978383507,12201,7316098122.471661
